output	source	type	sheet_or_pages	page_count	width	height
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム__sheet_01_表紙.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム.xlsx	Excel	表紙	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム.xlsx	Excel	変更履歴	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム__sheet_03_目次.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム.xlsx	Excel	目次	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム__sheet_04_1.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面一覧_A1_プロジェクト管理システム.xlsx	Excel	1	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム__sheet_01_表紙.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム.xlsx	Excel	表紙	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム.xlsx	Excel	変更履歴	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム__sheet_03_目次.jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム.xlsx	Excel	目次	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム__sheet_04_1. ログイン(A101).jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム.xlsx	Excel	1. ログイン(A101)	1	842	596
設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム__sheet_05_2. プロジェクト管理(A102).jpg	設計書/A1_プロジェクト管理システム/010_要件定義/040_画面設計/画面遷移図_プロジェクト管理システム.xlsx	Excel	2. プロジェクト管理(A102)	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/DB設計標準__all_pages.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/DB設計標準.docx	Word	50 pages	50	596	42100
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_01_表紙.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	表紙	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	変更履歴	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_03_目次.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	目次	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_04_1.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	1	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_05_2.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	2	3	842	1788
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_06_3.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	3	9	842	5364
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_07_4.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	4	4	842	2384
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)__sheet_08_5.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面).xlsx	Excel	5	10	842	5960
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ__sheet_01_表紙.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ.xlsx	Excel	表紙	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ.xlsx	Excel	変更履歴	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ__sheet_03_目次.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ.xlsx	Excel	目次	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ__sheet_04_1.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ.xlsx	Excel	1	1	842	596
設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ__sheet_05_2.jpg	設計書/A1_プロジェクト管理システム/020_方式設計/020_開発標準/010_設計標準/UI標準(画面)別冊_UI部品カタログ.xlsx	Excel	2	3	842	1788
