output	source	type	sheet_or_pages	page_count	width	height
001_samples__ハンバーガー注文サイト__ハンバーガー注文サイト システム概要仕様書.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト システム概要仕様書.docx	Word	16 pages	16	993	22464
002_samples__ハンバーガー注文サイト__ハンバーガー注文サイト システム構造設計書.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト システム構造設計書.docx	Word	8 pages	8	993	11232
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_01_表紙.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	表紙	1	1404	993
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_02_更新履歴.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	更新履歴	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_03_一覧.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	一覧	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_04_ER図.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	ER図	4	993	5616
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_05_products.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	products	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_06_categories.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	categories	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_07_sales.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	sales	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_08_orders.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	orders	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_09_customers.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	customers	2	1404	1986
003_samples__ハンバーガー注文サイト__ハンバーガー注文サイト データベース定義書__sheet_10_users.jpg	samples/ハンバーガー注文サイト/ハンバーガー注文サイト データベース定義書.xlsx	Excel	users	2	1404	1986
